(0.05, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.15, 0.21)(0.08, -0.12, 0.24)(0.08, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.25)(0.03, -0.04, 0.23)(0.03, -0.03, 0.22)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.01, -0.06, 0.24)(0.01, -0.04, 0.23)(0.01, -0.02, 0.22)(0.03, -0.16, 0.21)(0.00, -0.11, 0.24)(-0.01, -0.07, 0.24)(-0.01, -0.05, 0.23)(-0.01, -0.03, 0.22)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.23)(-0.02, -0.09, 0.23)(-0.02, -0.07, 0.22)(-0.01, -0.06, 0.21)
(0.04, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.12, 0.23)(0.08, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.26)(0.03, -0.06, 0.27)(0.02, -0.03, 0.26)(0.02, -0.02, 0.26)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.01, -0.06, 0.27)(0.00, -0.03, 0.27)(0.00, -0.02, 0.27)(0.03, -0.15, 0.21)(0.00, -0.11, 0.24)(-0.01, -0.07, 0.26)(-0.02, -0.05, 0.27)(-0.02, -0.03, 0.27)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.23)(-0.02, -0.09, 0.25)(-0.03, -0.07, 0.25)(-0.03, -0.06, 0.25)
(0.04, -0.16, 0.20)(0.02, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.14, 0.21)(0.04, -0.10, 0.26)(0.03, -0.07, 0.29)(0.03, -0.05, 0.30)(0.03, -0.03, 0.30)(0.04, -0.15, 0.21)(0.02, -0.11, 0.26)(0.01, -0.07, 0.29)(0.00, -0.05, 0.31)(-0.01, -0.04, 0.32)(0.03, -0.15, 0.21)(0.00, -0.11, 0.25)(-0.01, -0.08, 0.28)(-0.02, -0.06, 0.29)(-0.02, -0.05, 0.30)(0.02, -0.15, 0.20)(-0.01, -0.11, 0.23)(-0.03, -0.09, 0.26)(-0.04, -0.08, 0.27)(-0.04, -0.07, 0.27)
(0.04, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.14, 0.21)(0.04, -0.10, 0.26)(0.03, -0.07, 0.29)(0.03, -0.05, 0.30)(0.03, -0.03, 0.30)(0.04, -0.15, 0.21)(0.02, -0.11, 0.26)(0.01, -0.07, 0.29)(0.00, -0.05, 0.31)(-0.01, -0.04, 0.32)(0.03, -0.15, 0.21)(0.00, -0.11, 0.25)(-0.01, -0.08, 0.28)(-0.02, -0.06, 0.29)(-0.03, -0.05, 0.30)(0.02, -0.15, 0.20)(-0.01, -0.12, 0.23)(-0.03, -0.09, 0.26)(-0.04, -0.08, 0.27)(-0.04, -0.07, 0.27)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.04, -0.06, 0.24)(0.03, -0.04, 0.23)(0.03, -0.03, 0.21)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.02, -0.06, 0.23)(0.02, -0.04, 0.21)(0.02, -0.03, 0.19)(0.03, -0.16, 0.21)(0.00, -0.11, 0.24)(0.00, -0.07, 0.22)(0.00, -0.06, 0.20)(0.01, -0.05, 0.19)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.02, -0.09, 0.22)(-0.02, -0.07, 0.21)(-0.01, -0.06, 0.20)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.22)(0.06, -0.15, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.24)(0.08, -0.07, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.24)(0.03, -0.06, 0.22)(0.03, -0.06, 0.20)(0.04, -0.05, 0.18)(0.04, -0.15, 0.21)(0.02, -0.11, 0.24)(0.02, -0.07, 0.21)(0.03, -0.06, 0.19)(0.03, -0.06, 0.17)(0.03, -0.16, 0.20)(0.01, -0.11, 0.23)(0.00, -0.08, 0.21)(0.01, -0.07, 0.19)(0.02, -0.07, 0.17)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.21)(-0.01, -0.09, 0.21)(0.00, -0.09, 0.19)(0.01, -0.09, 0.18)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.08, -0.08, 0.25)(0.09, -0.07, 0.26)(0.05, -0.14, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.27)(0.02, -0.03, 0.28)(0.02, -0.02, 0.28)(0.04, -0.15, 0.21)(0.02, -0.10, 0.25)(0.00, -0.06, 0.28)(-0.01, -0.04, 0.30)(-0.01, -0.03, 0.30)(0.03, -0.15, 0.21)(0.00, -0.11, 0.24)(-0.01, -0.07, 0.27)(-0.02, -0.06, 0.28)(-0.03, -0.04, 0.29)(0.02, -0.15, 0.20)(-0.01, -0.11, 0.23)(-0.03, -0.09, 0.25)(-0.04, -0.08, 0.26)(-0.04, -0.07, 0.27)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.08, -0.08, 0.25)(0.09, -0.07, 0.26)(0.05, -0.14, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.28)(0.03, -0.04, 0.29)(0.02, -0.03, 0.30)(0.04, -0.15, 0.21)(0.02, -0.10, 0.25)(0.00, -0.07, 0.29)(0.00, -0.05, 0.31)(-0.01, -0.03, 0.31)(0.03, -0.15, 0.21)(0.00, -0.11, 0.25)(-0.01, -0.08, 0.28)(-0.02, -0.06, 0.29)(-0.03, -0.05, 0.30)(0.02, -0.15, 0.20)(-0.01, -0.12, 0.23)(-0.03, -0.10, 0.26)(-0.04, -0.08, 0.27)(-0.04, -0.07, 0.27)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.26)(0.03, -0.03, 0.25)(0.03, -0.02, 0.25)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.01, -0.06, 0.24)(0.00, -0.03, 0.24)(0.00, -0.01, 0.23)(0.03, -0.15, 0.21)(0.00, -0.11, 0.24)(-0.01, -0.07, 0.24)(-0.01, -0.04, 0.23)(-0.01, -0.03, 0.22)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.23)(-0.03, -0.09, 0.23)(-0.03, -0.07, 0.23)(-0.03, -0.06, 0.22)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.22)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.08, -0.08, 0.24)(0.08, -0.06, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.24)(0.03, -0.06, 0.22)(0.03, -0.05, 0.20)(0.03, -0.05, 0.18)(0.04, -0.15, 0.21)(0.02, -0.11, 0.24)(0.02, -0.07, 0.21)(0.02, -0.06, 0.18)(0.03, -0.06, 0.17)(0.03, -0.16, 0.20)(0.00, -0.11, 0.23)(0.00, -0.08, 0.20)(0.01, -0.07, 0.18)(0.02, -0.07, 0.17)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.21)(-0.01, -0.09, 0.20)(0.00, -0.09, 0.19)(0.01, -0.09, 0.18)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.22)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.08, -0.08, 0.24)(0.09, -0.06, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.03, -0.05, 0.24)(0.03, -0.03, 0.23)(0.02, -0.02, 0.22)(0.04, -0.15, 0.21)(0.02, -0.10, 0.24)(0.01, -0.05, 0.23)(0.01, -0.03, 0.22)(0.00, -0.02, 0.21)(0.03, -0.16, 0.21)(0.00, -0.11, 0.23)(-0.01, -0.07, 0.23)(-0.01, -0.04, 0.22)(-0.01, -0.03, 0.21)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.02, -0.09, 0.22)(-0.02, -0.07, 0.21)(-0.02, -0.06, 0.20)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.09, -0.08, 0.25)(0.09, -0.07, 0.26)(0.05, -0.14, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.28)(0.03, -0.04, 0.28)(0.02, -0.02, 0.29)(0.04, -0.15, 0.21)(0.02, -0.10, 0.25)(0.01, -0.06, 0.28)(0.00, -0.04, 0.30)(-0.01, -0.03, 0.31)(0.03, -0.15, 0.21)(0.00, -0.11, 0.24)(-0.01, -0.07, 0.27)(-0.02, -0.06, 0.29)(-0.02, -0.04, 0.29)(0.02, -0.15, 0.20)(-0.01, -0.11, 0.23)(-0.02, -0.09, 0.26)(-0.03, -0.08, 0.27)(-0.04, -0.07, 0.27)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.09, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.28)(0.03, -0.04, 0.28)(0.03, -0.02, 0.28)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.01, -0.06, 0.27)(0.00, -0.03, 0.28)(-0.01, -0.02, 0.28)(0.03, -0.15, 0.21)(0.00, -0.11, 0.24)(-0.01, -0.07, 0.26)(-0.02, -0.05, 0.27)(-0.03, -0.03, 0.27)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.23)(-0.03, -0.09, 0.25)(-0.04, -0.08, 0.25)(-0.04, -0.06, 0.26)
(0.05, -0.17, 0.20)(0.03, -0.13, 0.22)(0.06, -0.15, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.24)(0.09, -0.07, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.24)(0.03, -0.06, 0.23)(0.03, -0.05, 0.20)(0.03, -0.05, 0.19)(0.04, -0.15, 0.21)(0.02, -0.11, 0.24)(0.02, -0.07, 0.21)(0.03, -0.07, 0.19)(0.04, -0.07, 0.17)(0.03, -0.16, 0.21)(0.01, -0.12, 0.23)(0.00, -0.08, 0.21)(0.01, -0.08, 0.19)(0.03, -0.09, 0.17)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.01, -0.10, 0.21)(0.00, -0.09, 0.19)(0.01, -0.10, 0.18)
(0.05, -0.18, 0.20)(0.03, -0.13, 0.22)(0.06, -0.15, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.24)(0.08, -0.07, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.23)(0.03, -0.05, 0.21)(0.03, -0.04, 0.20)(0.04, -0.16, 0.21)(0.02, -0.11, 0.24)(0.02, -0.07, 0.22)(0.02, -0.06, 0.19)(0.03, -0.06, 0.18)(0.03, -0.16, 0.21)(0.01, -0.12, 0.23)(0.00, -0.08, 0.21)(0.01, -0.07, 0.19)(0.02, -0.07, 0.17)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.01, -0.10, 0.21)(0.00, -0.09, 0.19)(0.01, -0.09, 0.18)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.15, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.26)(0.03, -0.03, 0.26)(0.02, -0.02, 0.26)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.01, -0.06, 0.27)(0.00, -0.04, 0.28)(-0.01, -0.02, 0.28)(0.03, -0.16, 0.21)(0.00, -0.11, 0.24)(-0.01, -0.07, 0.26)(-0.02, -0.05, 0.27)(-0.03, -0.04, 0.27)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.23)(-0.03, -0.09, 0.25)(-0.03, -0.08, 0.25)(-0.04, -0.06, 0.25)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.15, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.26)(0.03, -0.03, 0.26)(0.02, -0.02, 0.26)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.01, -0.06, 0.27)(0.00, -0.04, 0.28)(-0.01, -0.02, 0.28)(0.03, -0.16, 0.21)(0.00, -0.11, 0.24)(-0.01, -0.07, 0.26)(-0.02, -0.05, 0.27)(-0.03, -0.04, 0.27)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.23)(-0.03, -0.09, 0.25)(-0.03, -0.08, 0.25)(-0.04, -0.06, 0.25)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.26)(0.03, -0.06, 0.28)(0.03, -0.04, 0.29)(0.03, -0.02, 0.29)(0.04, -0.15, 0.21)(0.02, -0.11, 0.26)(0.01, -0.07, 0.28)(0.00, -0.05, 0.30)(-0.01, -0.03, 0.31)(0.03, -0.15, 0.21)(0.00, -0.11, 0.25)(-0.01, -0.08, 0.27)(-0.02, -0.06, 0.29)(-0.03, -0.05, 0.30)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.23)(-0.03, -0.10, 0.26)(-0.04, -0.09, 0.27)(-0.04, -0.08, 0.27)
(0.05, -0.17, 0.20)(0.02, -0.13, 0.23)(0.06, -0.15, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.27)(0.03, -0.04, 0.28)(0.03, -0.02, 0.28)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.01, -0.06, 0.26)(0.00, -0.03, 0.26)(0.00, -0.02, 0.26)(0.03, -0.16, 0.21)(0.00, -0.11, 0.24)(-0.01, -0.07, 0.25)(-0.02, -0.05, 0.26)(-0.02, -0.03, 0.26)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.23)(-0.03, -0.09, 0.24)(-0.04, -0.08, 0.25)(-0.04, -0.06, 0.25)
(0.05, -0.17, 0.20)(0.03, -0.13, 0.22)(0.06, -0.15, 0.21)(0.08, -0.11, 0.23)(0.08, -0.08, 0.24)(0.09, -0.07, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.04, -0.06, 0.24)(0.03, -0.04, 0.22)(0.03, -0.03, 0.21)(0.04, -0.15, 0.21)(0.02, -0.11, 0.24)(0.02, -0.06, 0.23)(0.02, -0.04, 0.21)(0.02, -0.03, 0.20)(0.03, -0.16, 0.21)(0.01, -0.11, 0.23)(0.00, -0.07, 0.22)(0.00, -0.05, 0.21)(0.01, -0.04, 0.19)(0.03, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.01, -0.09, 0.21)(-0.01, -0.08, 0.20)(0.00, -0.08, 0.19)
(0.05, -0.17, 0.20)(0.03, -0.13, 0.23)(0.06, -0.14, 0.21)(0.09, -0.11, 0.23)(0.09, -0.08, 0.24)(0.09, -0.07, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.25)(0.03, -0.03, 0.25)(0.03, -0.02, 0.24)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.01, -0.06, 0.26)(0.00, -0.03, 0.26)(0.00, -0.01, 0.26)(0.03, -0.16, 0.21)(0.01, -0.11, 0.24)(-0.01, -0.07, 0.25)(-0.02, -0.05, 0.25)(-0.02, -0.03, 0.25)(0.03, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.02, -0.09, 0.24)(-0.03, -0.07, 0.24)(-0.03, -0.06, 0.23)
(0.05, -0.17, 0.20)(0.03, -0.13, 0.23)(0.06, -0.14, 0.21)(0.09, -0.11, 0.23)(0.09, -0.08, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.26)(0.04, -0.07, 0.29)(0.03, -0.05, 0.30)(0.03, -0.03, 0.30)(0.04, -0.15, 0.21)(0.02, -0.11, 0.26)(0.01, -0.07, 0.30)(0.00, -0.06, 0.32)(0.00, -0.04, 0.32)(0.03, -0.15, 0.21)(0.01, -0.11, 0.25)(-0.01, -0.08, 0.28)(-0.02, -0.07, 0.30)(-0.02, -0.05, 0.31)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.24)(-0.02, -0.10, 0.26)(-0.03, -0.09, 0.27)(-0.04, -0.08, 0.28)
(0.05, -0.17, 0.20)(0.03, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.09, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.26)(0.04, -0.07, 0.29)(0.03, -0.05, 0.30)(0.03, -0.03, 0.30)(0.04, -0.15, 0.21)(0.02, -0.11, 0.26)(0.01, -0.07, 0.29)(0.00, -0.05, 0.31)(0.00, -0.04, 0.32)(0.03, -0.15, 0.21)(0.00, -0.11, 0.25)(-0.01, -0.08, 0.28)(-0.02, -0.07, 0.29)(-0.02, -0.05, 0.30)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.24)(-0.02, -0.10, 0.26)(-0.04, -0.09, 0.27)(-0.04, -0.08, 0.28)
(0.05, -0.17, 0.20)(0.03, -0.13, 0.23)(0.06, -0.15, 0.21)(0.08, -0.12, 0.23)(0.08, -0.09, 0.25)(0.09, -0.07, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.04, -0.06, 0.24)(0.03, -0.04, 0.22)(0.03, -0.04, 0.21)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.02, -0.07, 0.22)(0.02, -0.05, 0.20)(0.02, -0.04, 0.19)(0.03, -0.16, 0.21)(0.01, -0.12, 0.23)(0.00, -0.08, 0.22)(0.01, -0.06, 0.20)(0.01, -0.05, 0.18)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.02, -0.09, 0.22)(-0.01, -0.08, 0.20)(0.00, -0.07, 0.19)
(0.05, -0.17, 0.20)(0.03, -0.13, 0.22)(0.06, -0.15, 0.21)(0.08, -0.11, 0.23)(0.08, -0.08, 0.24)(0.08, -0.06, 0.24)(0.05, -0.15, 0.21)(0.04, -0.10, 0.24)(0.03, -0.07, 0.22)(0.04, -0.06, 0.20)(0.04, -0.06, 0.18)(0.04, -0.15, 0.21)(0.02, -0.11, 0.24)(0.02, -0.07, 0.21)(0.03, -0.07, 0.18)(0.03, -0.07, 0.17)(0.03, -0.16, 0.21)(0.01, -0.11, 0.23)(0.00, -0.08, 0.20)(0.01, -0.08, 0.18)(0.02, -0.08, 0.17)(0.03, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.01, -0.10, 0.20)(0.00, -0.09, 0.19)(0.01, -0.09, 0.18)
(0.05, -0.17, 0.20)(0.03, -0.13, 0.23)(0.06, -0.15, 0.21)(0.08, -0.11, 0.23)(0.08, -0.08, 0.24)(0.09, -0.06, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.03, -0.06, 0.24)(0.03, -0.04, 0.23)(0.03, -0.03, 0.22)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.01, -0.06, 0.24)(0.01, -0.03, 0.22)(0.01, -0.02, 0.21)(0.03, -0.16, 0.21)(0.01, -0.11, 0.23)(-0.01, -0.07, 0.23)(-0.01, -0.05, 0.22)(0.00, -0.03, 0.21)(0.03, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.02, -0.09, 0.22)(-0.02, -0.07, 0.21)(-0.01, -0.06, 0.20)
(0.05, -0.17, 0.20)(0.03, -0.13, 0.23)(0.06, -0.14, 0.21)(0.08, -0.11, 0.23)(0.08, -0.08, 0.25)(0.09, -0.06, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.26)(0.03, -0.06, 0.28)(0.03, -0.04, 0.29)(0.02, -0.02, 0.29)(0.04, -0.15, 0.21)(0.02, -0.11, 0.25)(0.01, -0.06, 0.28)(0.00, -0.04, 0.30)(-0.01, -0.03, 0.30)(0.03, -0.15, 0.21)(0.00, -0.11, 0.25)(-0.01, -0.08, 0.27)(-0.02, -0.06, 0.28)(-0.02, -0.04, 0.29)(0.02, -0.16, 0.20)(-0.01, -0.12, 0.23)(-0.02, -0.09, 0.25)(-0.03, -0.08, 0.26)(-0.04, -0.07, 0.27)
(0.05, -0.17, 0.20)(0.03, -0.13, 0.22)(0.06, -0.15, 0.21)(0.08, -0.11, 0.23)(0.08, -0.09, 0.24)(0.09, -0.07, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.04, -0.07, 0.22)(0.04, -0.06, 0.20)(0.04, -0.06, 0.18)(0.04, -0.15, 0.21)(0.02, -0.11, 0.24)(0.02, -0.07, 0.21)(0.03, -0.06, 0.19)(0.03, -0.06, 0.17)(0.03, -0.16, 0.21)(0.01, -0.12, 0.23)(0.00, -0.08, 0.21)(0.02, -0.08, 0.19)(0.03, -0.08, 0.17)(0.03, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.01, -0.10, 0.21)(0.00, -0.09, 0.19)(0.01, -0.09, 0.18)
(0.05, -0.18, 0.20)(0.03, -0.13, 0.22)(0.06, -0.15, 0.21)(0.09, -0.11, 0.23)(0.08, -0.09, 0.24)(0.09, -0.07, 0.25)(0.05, -0.15, 0.21)(0.04, -0.10, 0.24)(0.03, -0.07, 0.22)(0.04, -0.06, 0.20)(0.04, -0.06, 0.18)(0.05, -0.16, 0.21)(0.02, -0.11, 0.24)(0.02, -0.07, 0.21)(0.03, -0.07, 0.19)(0.03, -0.07, 0.17)(0.03, -0.16, 0.21)(0.01, -0.12, 0.23)(0.00, -0.08, 0.20)(0.02, -0.08, 0.18)(0.03, -0.08, 0.17)(0.03, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.01, -0.10, 0.21)(0.00, -0.09, 0.19)(0.01, -0.10, 0.18)
(0.05, -0.18, 0.20)(0.03, -0.14, 0.23)(0.07, -0.15, 0.21)(0.09, -0.12, 0.23)(0.09, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.04, -0.10, 0.25)(0.03, -0.07, 0.23)(0.03, -0.05, 0.21)(0.03, -0.05, 0.20)(0.05, -0.16, 0.21)(0.03, -0.11, 0.24)(0.02, -0.07, 0.22)(0.02, -0.05, 0.20)(0.03, -0.05, 0.19)(0.04, -0.16, 0.21)(0.01, -0.12, 0.23)(0.00, -0.08, 0.22)(0.01, -0.06, 0.20)(0.01, -0.06, 0.18)(0.03, -0.16, 0.20)(-0.01, -0.12, 0.22)(-0.01, -0.10, 0.21)(0.00, -0.09, 0.20)(0.01, -0.09, 0.19)
(0.05, -0.18, 0.20)(0.03, -0.14, 0.23)(0.06, -0.15, 0.21)(0.09, -0.12, 0.23)(0.09, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.05, -0.11, 0.25)(0.04, -0.07, 0.27)(0.03, -0.04, 0.28)(0.03, -0.03, 0.27)(0.05, -0.16, 0.21)(0.03, -0.11, 0.25)(0.01, -0.07, 0.27)(0.00, -0.04, 0.29)(0.00, -0.03, 0.29)(0.04, -0.16, 0.21)(0.01, -0.12, 0.24)(-0.01, -0.08, 0.27)(-0.01, -0.06, 0.27)(-0.02, -0.04, 0.28)(0.03, -0.16, 0.20)(-0.01, -0.12, 0.23)(-0.02, -0.10, 0.25)(-0.03, -0.08, 0.25)(-0.03, -0.07, 0.26)
(0.05, -0.17, 0.20)(0.03, -0.14, 0.23)(0.06, -0.15, 0.21)(0.09, -0.12, 0.23)(0.09, -0.09, 0.25)(0.09, -0.07, 0.26)(0.05, -0.15, 0.21)(0.05, -0.11, 0.26)(0.04, -0.07, 0.29)(0.03, -0.05, 0.30)(0.03, -0.04, 0.30)(0.04, -0.15, 0.21)(0.03, -0.11, 0.26)(0.01, -0.08, 0.29)(0.00, -0.06, 0.31)(0.00, -0.04, 0.32)(0.03, -0.16, 0.21)(0.01, -0.12, 0.25)(-0.01, -0.09, 0.28)(-0.01, -0.07, 0.29)(-0.02, -0.05, 0.30)(0.03, -0.16, 0.21)(-0.01, -0.12, 0.24)(-0.02, -0.10, 0.26)(-0.03, -0.09, 0.27)(-0.04, -0.08, 0.28)

